(1096L, 139L, 'DESF      ', Decimal('2.20'), Decimal('92.00'), 'O', 4, 2, Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('4.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'))
(1091L, 139L, 'DAP       ', Decimal('95.48'), Decimal('100.00'), 'A', 2, 0, Decimal('13.50'), Decimal('16.50'), Decimal('18.50'), Decimal('10.50'), Decimal('14.00'), Decimal('10.00'), Decimal('18.50'), Decimal('12.00'), Decimal('16.50'), Decimal('21.50'), Decimal('17.00'), Decimal('18.00'), Decimal('19.50'), Decimal('14.00'), Decimal('16.50'), Decimal('7.50'), Decimal('20.00'), Decimal('19.00'), Decimal('18.50'), Decimal('10.00'), Decimal('17.50'), Decimal('13.50'), Decimal('16.00'), Decimal('17.00'), Decimal('13.50'))
(1092L, 139L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('5.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'))
(69L, 11L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'))
(70L, 11L, 'DAP       ', Decimal('121.04'), Decimal('100.00'), 'A', 2, 0, Decimal('25.00'), Decimal('24.00'), Decimal('14.50'), Decimal('20.50'), Decimal('22.00'), Decimal('21.50'), Decimal('21.50'), Decimal('23.00'), Decimal('20.50'), Decimal('19.00'), Decimal('25.50'), Decimal('16.50'), Decimal('26.50'), Decimal('25.50'), Decimal('14.00'), Decimal('19.00'), Decimal('18.50'), Decimal('23.00'), Decimal('16.00'), Decimal('23.50'), Decimal('16.00'), Decimal('23.50'), Decimal('19.00'), Decimal('21.00'), Decimal('20.50'))
(71L, 11L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('4.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'))
(796L, 53L, 'GONIPTE   ', Decimal('3.00'), Decimal('100.00'), 'P', 8, 3, Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'))
(857L, 105L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'))
(858L, 105L, 'DAP       ', Decimal('76.60'), Decimal('100.00'), 'A', 2, 0, Decimal('22.00'), Decimal('24.00'), Decimal('22.00'), Decimal('28.50'), Decimal('18.00'), Decimal('14.50'), Decimal('19.00'), Decimal('13.00'), Decimal('21.00'), Decimal('21.00'), Decimal('22.00'), Decimal('27.00'), Decimal('19.50'), Decimal('23.50'), Decimal('23.00'), Decimal('27.50'), Decimal('23.00'), Decimal('21.50'), Decimal('24.00'), Decimal('16.50'), Decimal('29.00'), Decimal('23.00'), Decimal('20.00'), Decimal('25.00'), Decimal('24.00'))
(859L, 105L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'))
