(1, 'I', 2, 2020, Decimal('0.0'))
(1, 'I', 3, 2005, Decimal('0.0'))
(1, 'I', 3, 2006, Decimal('0.0'))
(1, 'I', 3, 2007, Decimal('0.0'))
(1, 'I', 3, 2008, Decimal('0.0'))
(1, 'I', 3, 2009, Decimal('0.0'))
(1, 'I', 3, 2010, Decimal('0.0'))
(1, 'I', 3, 2011, Decimal('0.0'))
(1, 'I', 3, 2012, Decimal('0.0'))
(1, 'I', 3, 2013, Decimal('0.0'))
(1, 'I', 3, 2014, Decimal('0.0'))
(1, 'I', 3, 2015, Decimal('0.0'))
(1, 'I', 3, 2016, Decimal('0.0'))
(1, 'I', 3, 2017, Decimal('0.0'))
(1, 'I', 3, 2018, Decimal('0.0'))
(1, 'I', 3, 2019, Decimal('0.0'))
